Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;BSUP VAL pipeline;Val Pipeline(3) ;# etats recharge Pipeline(3);# etats prod Pipeline(3);CPU pipeline(3);Val Pipeline(2) ;# etats recharge Pipeline(2);# etats prod Pipeline(2);CPU pipeline(2);Val Pipeline(2) ;# etats recharge Pipeline(1);# etats prod Pipeline(1);CPU pipeline(1);Val Pipeline(0) ;# etats recharge Pipeline(0);# etats prod Pipeline(0);CPU pipeline(0);Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;Val St(3) chapitre 5;# etats St(3) chapitre 5;# etats St(2);# etats St(1);# etats St(0);VAL PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;num;;obj pi(0);;Gap pi(0);;cpu pi(0);;obj pi(3);;Gap pi(3);;cpu pi(3);;obj pi(2);;Gap pi(2);;cpu pi(2);;obj pi(1);;Gap pi(1);;cpu pi(1);;num;;Re Pi(0);;Pr Pi(0);;#Etats St(0) chap5;;Re Pi(3);;Pr Pi(3);;#Etats St(3) chap5;;Re Pi(2);;Pr Pi(2);;#Etats ST(2) chap 5;;Re Pi(1);;Pr Pi(1);;#Etats St(1) chap 5;;num;;obj St(0);;Gap St(0);;#Etats St(0);;CPU St(0);;obj St(3);;#Etats St(3);;CPU  St(3);
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;&;131;&;0;&;0;&;131;&;0;&;0;&;131;&;0;&;0,002;&;131;&;0;&;0,002;\\ \hline;21;&;3;&;42;&;61;&;3;&;78;&;554;&;3;&;669;&;4329;&;3;&;745;&;4604;\\ \hline;21;&;131;&;0;&;61;&;0;&;131;&;554;&;0,004;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;&;151;&;0;&;0;&;151;&;0;&;0;&;151;&;0;&;0,003;&;151;&;0;&;0,003;\\ \hline;22;&;3;&;84;&;161;&;3;&;381;&;1739;&;3;&;683;&;4241;&;3;&;683;&;4820;\\ \hline;22;&;151;&;0;&;159;&;0,003;&;151;&;1336;&;0,01;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;&;144;&;0;&;0;&;144;&;0;&;0;&;154;&;6,94;&;0,216;&;154;&;6,94;&;0,22;\\ \hline;23;&;5;&;29;&;63;&;5;&;99;&;2213;&;5;&;5932;&;129720;&;5;&;5932;&;131744;\\ \hline;23;&;144;&;0;&;63;&;0,002;&;144;&;2213;&;0,027;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;&;149;&;6,43;&;0;&;149;&;6,43;&;0,003;&;149;&;6,43;&;0,007;&;149;&;6,43;&;0,007;\\ \hline;24;&;3;&;142;&;321;&;3;&;748;&;2155;&;3;&;887;&;4748;&;3;&;887;&;4865;\\ \hline;24;&;140;&;0;&;281;&;0,01;&;140;&;1844;&;0,024;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;&;161;&;0;&;0;&;161;&;0;&;0;&;161;&;0;&;0,344;&;161;&;0;&;0,349;\\ \hline;25;&;3;&;75;&;48;&;3;&;223;&;406;&;3;&;6880;&;82005;&;3;&;6880;&;83001;\\ \hline;25;&;161;&;0;&;48;&;0,001;&;161;&;406;&;0,009;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;&;179;&;0,56;&;0,007;&;179;&;0,56;&;0,139;&;179;&;0,56;&;0,181;&;179;&;0,56;&;0,183;\\ \hline;26;&;3;&;388;&;198;&;3;&;3142;&;9960;&;3;&;3275;&;13761;&;3;&;3275;&;19072;\\ \hline;26;&;179;&;0,56;&;78;&;0,002;&;178;&;2472;&;0,041;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;&;222;&;0;&;0;&;222;&;0;&;0;&;222;&;0;&;0,001;&;222;&;0;&;0,002;\\ \hline;27;&;3;&;71;&;126;&;3;&;352;&;1732;&;3;&;531;&;7914;&;3;&;531;&;14375;\\ \hline;27;&;222;&;0;&;126;&;0,001;&;222;&;1732;&;0,008;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;&;195;&;1,56;&;0,001;&;195;&;1,56;&;0,007;&;195;&;1,56;&;0,332;&;195;&;1,56;&;0,333;\\ \hline;28;&;3;&;160;&;87;&;3;&;1189;&;1607;&;3;&;6879;&;37060;&;3;&;6879;&;39376;\\ \hline;28;&;192;&;0;&;72;&;0,002;&;192;&;965;&;0,01;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;&;644;&;0;&;0,003;&;644;&;0;&;5,704;&;644;&;0;&;34,151;&;644;&;0;&;34,694;\\ \hline;29;&;4;&;200;&;286;&;4;&;15047;&;263867;&;4;&;33344;&;1410815;&;4;&;33344;&;1344462;\\ \hline;29;&;644;&;0;&;161;&;0,007;&;644;&;6962;&;0,178;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;&;1142;&;0,26;&;0,001;&;1142;&;0,26;&;0,938;&;1142;&;0,26;&;1,912;&;1142;&;0,26;&;1,938;\\ \hline;30;&;3;&;128;&;148;&;3;&;8682;&;326094;&;3;&;10295;&;716815;&;3;&;10295;&;1024128;\\ \hline;30;&;1142;&;0,26;&;102;&;0,008;&;1139;&;49609;&;2,365;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;&;140;&;4,48;&;0,001;&;140;&;4,48;&;0,001;&;147;&;9,7;&;0,836;&;147;&;9,7;&;0,842;\\ \hline;31;&;3;&;109;&;29;&;3;&;343;&;536;&;3;&;8681;&;42913;&;3;&;8681;&;43867;\\ \hline;31;&;140;&;4,48;&;29;&;0,001;&;134;&;536;&;0,014;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;&;916;&;0,44;&;0,48;&;916;&;0,44;&;1670,67;&;0;&;-100;&;3600;&;0;&;-;&;3600;\\ \hline;32;&;3;&;1343;&;314;&;3;&;167455;&;613249;&;3;&;292458;&;1020778;&;3;&;292458;&;1020778;\\ \hline;32;&;914;&;0,22;&;176;&;0,026;&;912;&;12756;&;1,672;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;&;960;&;0,42;&;0,055;&;960;&;0,42;&;36,498;&;960;&;0,42;&;193,632;&;960;&;0,42;&;193,782;\\ \hline;33;&;4;&;575;&;59;&;4;&;34943;&;7115;&;4;&;75634;&;1610932;&;4;&;75634;&;1610932;\\ \hline;33;&;960;&;0,42;&;58;&;0,004;&;956;&;3391;&;0,154;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;&;1387;&;1,09;&;0,334;&;1387;&;1,09;&;3600;&;0;&;-100;&;3600;&;0;&;-100;&;3600;\\ \hline;34;&;3;&;990;&;642;&;3;&;191783;&;1550626;&;3;&;274485;&;1559487;&;3;&;314032;&;1559487;\\ \hline;34;&;1372;&;0;&;460;&;0,305;&;0;&;754539;&;3600,43;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;&;1348;&;0,15;&;0,342;&;1348;&;0,15;&;67,342;&;1348;&;0,15;&;77,182;&;1348;&;0,15;&;78,36;\\ \hline;35;&;4;&;1485;&;106;&;4;&;46227;&;261078;&;4;&;48830;&;1067321;&;4;&;48830;&;1115578;\\ \hline;35;&;1348;&;0,15;&;88;&;0,017;&;1346;&;88677;&;22,866;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;&;1298;&;0,54;&;0,675;&;1298;&;0,54;&;387,758;&;1298;&;0,54;&;1176,7;&;1298;&;0,54;&;1729,44;\\ \hline;36;&;5;&;1946;&;429;&;5;&;93550;&;909386;&;5;&;149187;&;1118045;&;5;&;149187;&;1118045;\\ \hline;36;&;1292;&;0,08;&;230;&;0,078;&;1291;&;327838;&;453,139;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;&;1318;&;-;&;5,351;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;37;&;5;&;3264;&;410;&;5;&;223991;&;703595;&;5;&;279528;&;1019333;&;5;&;313384;&;1169832;\\ \hline;37;&;1288;&;-;&;410;&;0,725;&;0;&;900272;&;3615,24;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;&;2390;&;-;&;0,836;&;2390;&;-;&;381,343;&;2390;&;-;&;1152,14;&;2390;&;-;&;1698,25;\\ \hline;38;&;5;&;1921;&;390;&;5;&;78975;&;872810;&;5;&;124484;&;764772;&;5;&;124484;&;1256433;\\ \hline;38;&;2383;&;-;&;257;&;0,195;&;0;&;939836;&;3740,62;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;&;2306;&;-;&;67,397;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;39;&;4;&;10669;&;442;&;4;&;230526;&;2238483;&;4;&;349693;&;2010204;&;4;&;439033;&;2238483;\\ \hline;39;&;2218;&;-;&;724;&;2,133;&;0;&;1908524;&;3669,73;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;&;2679;&;-;&;0,335;&;2679;&;-;&;609,139;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;40;&;6;&;1274;&;609;&;6;&;113612;&;1137757;&;6;&;379034;&;918477;&;6;&;379034;&;1227651;\\ \hline;40;&;2655;&;-;&;498;&;0,996;&;0;&;1180949;&;3631,16;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;&;1496;&;-;&;63,503;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;41;&;4;&;11650;&;2138;&;4;&;274431;&;1207299;&;4;&;352392;&;846485;&;4;&;352392;&;1219554;\\ \hline;41;&;1412;&;-;&;2037;&;17,505;&;0;&;1216931;&;3626,03;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;&;1365;&;-;&;63,399;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;42;&;4;&;9253;&;5148;&;4;&;262745;&;1759894;&;4;&;347328;&;1687911;&;4;&;329060;&;1850181;\\ \hline;42;&;1350;&;-;&;1086;&;3,33;&;0;&;773791;&;3600,59;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;&;2743;&;-;&;281,643;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;43;&;4;&;21541;&;1284;&;4;&;321030;&;1320005;&;4;&;391639;&;1320005;&;4;&;374281;&;1320005;\\ \hline;43;&;2596;&;-;&;745;&;2,53;&;0;&;1076713;&;3805,69;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;&;2943;&;-;&;88,849;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;44;&;4;&;11074;&;1116;&;4;&;330588;&;1450961;&;4;&;386736;&;1450961;&;4;&;362386;&;1450961;\\ \hline;44;&;2807;&;-;&;629;&;2,253;&;0;&;1443810;&;3949,79;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;&;2124;&;-;&;4,113;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;45;&;8;&;1832;&;869;&;8;&;251611;&;1626287;&;8;&;417729;&;1484155;&;8;&;417729;&;1484155;\\ \hline;45;&;2060;&;-;&;1052;&;8,047;&;0;&;1683461;&;3626,42;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;&;2376;&;-;&;4489,96;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;46;&;6;&;94544;&;53759;&;6;&;197492;&;1550660;&;6;&;352015;&;1637832;&;6;&;352015;&;1637832;\\ \hline;46;&;2353;&;-;&;18731;&;205,206;&;0;&;817959;&;3655,21;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;&;2475;&;-;&;0,425;&;2475;&;-;&;3600,01;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;47;&;6;&;799;&;696;&;6;&;242065;&;1817157;&;6;&;433076;&;2510242;&;6;&;410623;&;2510242;\\ \hline;47;&;2475;&;-;&;488;&;1,389;&;0;&;704556;&;3606,82;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;&;3138;&;-;&;415,682;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;48;&;4;&;18516;&;1258;&;4;&;309715;&;1468315;&;4;&;403883;&;1468854;&;4;&;388750;&;1468854;\\ \hline;48;&;3066;&;-;&;1997;&;13,723;&;0;&;1357220;&;4288,92;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;&;4506;&;-;&;780,538;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;49;&;4;&;28811;&;1070;&;4;&;337806;&;1764386;&;4;&;428650;&;1764386;&;4;&;380630;&;1861070;\\ \hline;49;&;4377;&;-;&;1122;&;4,112;&;0;&;1861070;&;3707,21;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;&;3618;&;-;&;59,327;&;0;&;-;&;3600;&;0;&;-;&;3600;&;0;&;-;&;3600;\\ \hline;50;&;8;&;8068;&;1207;&;8;&;380082;&;1122956;&;8;&;490597;&;1166419;&;8;&;490597;&;1166419;\\ \hline;50;&;3500;&;-;&;1355;&;20,315;&;0;&;1766865;&;3646,29;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1488,133333;0;0,995625;0;210,7752333;0;557,0333333;0;0,995625;0;1665,3184;0;309,0333333;0;0,885333333;0;1887,9213;0;309,0333333;0;0,885333333;0;1924,6135;0;35,5;0;4,233333333;0;7699,433333;0;2449,133333;0;4,233333333;0;137297,0333;0;799762,7333;0;4,233333333;0;201847,8;0;962697,3333;0;4,233333333;0;202422,3667;0;1033360,2;0;35,5;0;1455,733333;0;0,205666667;0;1110,766667;0;9,430866667;0;258,0333333;0;629592,9;0;1875,022367;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7703,666667;;;;;;137301,2667;;;;;;201852,0333;;;;;;202426,6;;;;;;;;;;;;;;;;;;;;
